EVENT_ID, Time, Latitude, Longitude, Depth, Magnitude, MagnitudeType, BbEnergyMagnitude, BbRuptureDuration, BbStationCount, BbTotalEnergy, HfEnergyMagnitude, HfRuptureDuration, HfStationCount, HfTotalEnergy
2456566, 2007 03 17 22 43 10, 4.6074, -78.4753, 10.0, 5.9, MW, 5.77, 40.0, 29, 9.9999998E12, 6.12, 40.0, 8, 6.7000001E12
2457135, 2007 03 18 02 11 07, 4.6445, -78.4592, 17.7, 6.2, MW, 6.44, 50.0, 39, 1.0E14, 6.35, 50.0, 22, 1.50000003E13
246084, 1992 07 11 10 44 20, -22.5049, -178.3926, 381.6, 7.2, mw, 7.23, 46.0, 11, 1.60000001E15, 7.55, 46.0, 11, 9.4000003E14
2463191, 2007 05 16 08 56 13, 20.5752, 100.7579, 1.3, 6.3, MW, 6.29, 67.0, 60, 6.0999999E13, 6.65, 67.0, 41, 4.3E13
2463432, 2007 01 17 04 28 27, -3.282, 139.8843, 104.9, 6.0, MW, 5.92, 115.0, 36, 1.69999996E13, 6.13, 115.0, 25, 7.1999999E12
2464150, 2007 02 20 08 04 27, -1.0294, 127.0737, 27.7, 6.7, MW, 6.96, 45.0, 55, 6.2E14, 7.2, 45.0, 38, 2.80000008E14
246434, 1992 03 13 16 01 04, 52.4248, -178.9767, 197.0, 6.4, mw, 6.49, 33.0, 13, 1.20000002E14, 6.88, 33.0, 9, 9.5000004E13
2465254, 2007 02 20 14 25 29, -1.0502, 127.0144, 30.4, 5.9, MW, 6.32, 41.0, 48, 6.7999998E13, 6.61, 41.0, 33, 3.6000001E13
2466320, 2007 01 17 23 18 50, 10.0953, 58.7229, 10.0, 6.2, MW, 6.13, 31.0, 47, 3.6000001E13, 6.44, 31.0, 30, 2.09999993E13
246750, 1992 07 12 11 08 56, 41.4392, 142.072, 69.3, 6.2, mw, 6.12, 39.0, 15, 3.39999992E13, 6.22, 39.0, 12, 9.7000001E12
2468604, 2007 05 17 19 29 09, -30.7538, -178.1702, 32.6, 5.9, MW, 5.88, 64.0, 24, 1.50000003E13, 6.38, 64.0, 16, 1.69999996E13
2471316, 2007 06 18 06 18 48, -3.5755, 151.0333, 23.4, 6.3, MW, 6.43, 43.0, 54, 1.0E14, 6.52, 43.0, 30, 2.69999994E13
2472834, 2007 04 13 05 42 23, 17.2424, -100.2031, 35.4, 6.0, MW, 6.16, 69.0, 37, 3.9999999E13, 6.45, 69.0, 21, 2.09999993E13
2474086, 2007 01 20 06 21 05, -55.321, -29.4544, 10.0, 6.2, MW, 6.44, 53.0, 20, 1.0E14, 6.53, 53.0, 14, 2.79999991E13
247622, 1992 05 15 07 05 05, -6.0866, 147.5724, 60.9, 7.2, mw, 7.25, 75.0, 12, 1.7E15, 7.18, 75.0, 9, 2.69999999E14
247665, 1992 07 13 15 34 03, 51.1441, 157.6514, 39.6, 6.2, mw, 6.15, 76.0, 18, 3.8E13, 6.37, 76.0, 15, 1.59999999E13
2479108, 2007 01 21 11 27 44, 1.0816, 126.3618, 23.5, 7.5, MW, 7.48, 50.0, 50, 3.79999996E15, 7.72, 50.0, 47, 1.7E15
2480456, 2007 02 24 02 36 22, -6.9657, -80.446, 9.9, 6.3, MW, 6.35, 60.0, 35, 7.3999996E13, 6.52, 60.0, 15, 2.69999994E13
2482145, 2007 03 25 00 40 03, -20.5675, 169.3463, 36.2, 7.1, MW, 7.19, 60.0, 29, 1.40000002E15, 7.35, 60.0, 15, 4.80000009E14
2482210, 2007 03 25 00 41 57, 37.3332, 136.5691, 2.5, 6.7, MW, 6.65, 39.0, 53, 2.09999993E14, 6.6, 39.0, 37, 3.6000001E13
2482948, 2007 08 01 17 08 55, -15.6745, 167.6986, 149.5, 7.2, MW, 7.34, 61.0, 43, 2.30000008E15, 7.44, 61.0, 38, 6.5999997E14
2483281, 2007 01 21 17 33 00, 1.0619, 126.3884, 59.7, 6.2, MW, 6.09, 45.0, 41, 3.10000002E13, 6.38, 45.0, 29, 1.69999996E13
2483299, 2007 09 01 19 14 23, 24.9881, -109.6641, 9.8, 6.1, MW, 6.05, 61.0, 33, 2.59999998E13, 6.31, 61.0, 16, 1.29999999E13
248357, 1992 06 15 02 48 56, 24.0044, 95.9676, 17.3, 6.3, mw, 6.36, 43.0, 12, 7.9000001E13, 6.48, 43.0, 10, 2.40000004E13
2485365, 2007 09 02 01 05 19, -11.589, 165.8205, 37.5, 7.2, MW, 7.12, 74.0, 45, 1.09999998E15, 6.65, 74.0, 26, 4.3E13
2486009, 2007 08 02 02 37 44, 46.9515, 141.7911, 21.1, 6.2, MW, 5.59, 56.0, 59, 5.4000002E12, 5.64, 56.0, 23, 1.30000001E12
2486381, 2007 08 02 03 21 47, 51.3617, -179.9834, 53.8, 6.7, MW, 6.45, 50.0, 68, 1.10000001E14, 6.78, 50.0, 49, 6.5999999E13
2492101, 2007 10 02 18 00 08, 54.5424, -161.7764, 44.5, 6.3, MW, 6.37, 62.0, 74, 8.0999996E13, 6.53, 62.0, 55, 2.79999991E13
