MSt,MSlat,MSlon,MSdepth,MSmag,MSfms,MSprod,FSprod,MSres
730349.001141088,40.756,29.955,17,7.6,0,41,0,-0.285117446427588
729186.16916331,51.5487,-177.6073,34.1,7.6,0,151,1,0.281075644145846
728996.750811921,44.5301,149.3078,46.1,7.6,0,252,39,0.503499237634221
728887.435769676,-5.8208,154.1675,46.6,7.6,0,160,0,0.306218679508602
723790.395496412,-15.0804,-173.1157,20,7.6,0,42,1,-0.274652012749423
736089.072271065,-5.5168,151.8641,29.6,7.5,0,229,3,0.553042087007121
736052.992025463,-4.7758,152.5778,41.3,7.5,0,308,1,0.681757321167677
735708.561119444,-6.708,154.992,39.8,7.5,0,306,12,0.678928031148813
734948.751940046,16.4734,-98.3694,19.4,7.5,0,68,0,0.0257155173734691
734301.810301505,7.8506,91.9546,31.4,7.5,0,53,0,-0.0825175257319781
733995.830322106,14.0522,92.8685,30.7,7.5,0,40,0,-0.204733404004805
733063.477603935,1.0816,126.3618,23.5,7.5,0,316,0,0.692893687285637
732262.893545718,-8.1491,124.7441,23.1,7.5,0,137,0,0.329927171823639
731777.85267037,-2.6398,68.3563,10,7.5,0,37,0,-0.238591671265772
731603.087916088,18.8965,-104.0815,27.4,7.5,0,12,0,-0.727612149285142
731499.451646181,-1.7511,134.2585,24.8,7.5,0,141,0,0.342425717322612
731280.886222917,6.032,124.273,33,7.5,0,108,2,0.226630360154183
731143.144953472,-4.089,123.977,33,7.5,0,28,0,-0.359635363990548
730852.289630093,6.876,126.659,33,7.5,0,146,1,0.35755946045167
730450.556434838,-16.324,168.135,35.2,7.5,0,41,0,-0.194009538613032
729878.979445255,22.3022,125.3178,50.5,7.5,0,20,2,-0.505763399668786
729341.708147685,-15.0549,-75.6579,33,7.5,0,61,1,-0.0214635603220001
727554.363349884,45.4777,151.0234,24.7,7.5,0,93,1,0.161689553221168
725665.282059491,-28.1334,-176.3971,29,7.5,0,171,0,0.426202715059387
725069.949396759,-33.0777,-71.7222,36.2,7.5,0,140,1,0.339334640345471
736561.314151968,-55.2793,-31.874,10,7.4,0,238,0,0.660891469538301
735180.69154294,14.0318,-92.0669,38.7,7.4,0,120,0,0.363495758529413
734797.748117014,-28.8809,-176.0332,34.8,7.4,0,80,1,0.187404499473732
734493.722004167,26.8989,143.7048,13.8,7.4,0,713,0,1.13740404233365
733776.822174074,-0.5275,132.6016,31.1,7.4,0,194,1,0.572116242412015
733315.224706597,-49.2466,164.1939,10,7.4,0,39,0,-0.124620880491712
732679.257508565,-61.0106,-21.6489,10,7.4,0,13,0,-0.601742135211375
732195.623118403,33.2055,137.0731,10,7.4,0,77,12,0.170805237654271
730895.811463889,-4.754,102.478,33.9,7.4,0,53,0,0.0085903820825779
729702.41867338,35.1163,87.3741,38.1,7.4,0,23,0,-0.353957651500618
729076.53543669,-9.6915,-79.767,10,7.4,0,23,0,-0.353957651500618
728916.58651412,16.8818,-98.5954,44.4,7.4,0,15,0,-0.53959422846253
728756.921524653,-15.3361,-173.522,47,7.4,0,50,1,-0.0167154831821925
727910.228776852,-8.475,121.9023,27.7,7.4,0,157,2,0.480214164891022
726941.568981829,1.2189,122.9156,33.2,7.4,0,112,0,0.33353253515197
726895.511428357,-22.0709,175.1643,33,7.4,0,31,0,-0.224323793683939
725598.818905671,1.8182,126.5362,34.6,7.4,0,98,0,0.275540588174284
723835.14282963,-33.1525,-73.1011,17.8,7.4,0,13,0,-0.601742135211375
737011.762700116,34.9052,45.9563,19,7.3,0,48,1,0.0566636576719337
735707.602369097,17.3211,-100.9938,24.4,7.3,0,22,0,-0.282154898881447
735430.585899653,-61.0527,-25.2274,19.9,7.3,0,15,0,-0.448486320647972
735108.192588542,12.1318,-88.6604,16,7.3,0,76,1,0.256236012577138
734678.131700463,51.9805,-171.8201,49.8,7.3,0,23,0,-0.262849743686061
734571.114810069,38.4407,142.9803,26.2,7.3,0,2806,0,1.82351008698869
734497.553219676,-19.8371,167.9375,15.7,7.3,0,296,1,0.846714131355285
734360.224842361,-17.5345,168.0377,33.5,7.3,0,117,0,0.443608282042508
734337.565982639,-6.0444,150.6597,43.1,7.3,0,131,4,0.492693715952111
733921.350559722,16.8078,-86.243,29,7.3,0,17,0,-0.39412865832538
733788.742806019,46.8333,155.246,31.1,7.3,0,24,0,-0.244366337992048
733728.710101968,1.3516,122.1629,28.1,7.3,0,27,0,-0.193213815544666
733507.532094097,-20.0376,168.9074,31.4,7.3,0,134,12,0.502527218661154
733458.339252778,2.7634,95.9644,31.4,7.3,0,49,0,0.0656185003248602
731984.112895602,-4.0301,135.0876,15,7.3,0,46,11,0.0381802519779206
731942.667363889,-21.8913,169.7329,10,7.3,0,177,32,0.623395686658153
731851.481540857,50.0089,87.7788,16,7.3,0,135,0,0.505756188791353
729520.331592361,33.8784,59.823,6.7,7.3,0,34,0,-0.0930986626613983
728795.842195139,-22.9802,169.8933,30.4,7.3,0,218,0,0.713878913900951
728122.553597338,42.8858,139.2347,7.6,7.3,0,128,1,0.482632389944215
727795.086543866,42.1232,73.5957,27.4,7.3,0,36,0,-0.0682750789363662
727701.427466204,7.2066,126.7963,50.7,7.3,0,54,2,0.107816180119315
727310.914483796,9.6963,-83.0745,4,7.3,0,33,0,-0.106063639825766
727004.875125694,36.9893,49.3462,18.5,7.3,0,59,0,0.146274431938491
726773.767768403,39.8541,142.8201,29,7.3,0,79,1,0.273049511586788
726016.179930093,-17.9291,-172.2409,16,7.3,0,28,1,-0.177419548361434
