MSt,MSlat,MSlon,MSdepth,MSmag,MSfms,MSprod,FSprod,MSres,SeismoWidth,Background,Time_appended_cat1,Lat_appended_cat1,Lon_appended_cat1,Depth_appended_cat1,Mw_appended_cat1,Mo_appended_cat1,Width_appended_cat1,Length_appended_cat1,Strike_appended_cat1,Dip_appended_cat1,Rake_appended_cat1,RuptureVelocity_appended_cat1,RuptureTime_appended_cat1,StressDrop_appended_cat1,Young_appended_cat1,Poisson_appended_cat1
729025.336916204,0.6842,119.9847,15.4,7.8,0,66,0,-0.613282850386973,33.7,0,729025,0.72,119.98,16,7.82,7.0023776e+20,150,195,53,7,54,2.61,2.65,3.9,98509950893.885,0.270167481648401
728447.762233912,-10.4132,112.9264,38.9,7.8,0,251,0,-0.0331530644478035,32.22,0,728887,-5.786,154.181,30,7.7,4.59201e+20,94.4,144,320,39,9,2.19,4.25,4.8,148569376781.646,0.277636374630236
736893.982104977,54.4715,168.8148,10.99,7.7,0,99,0,-0.333156489902274,36.16,2.37385222120204e-15,736893,54.4673,168.8587,12,7.8,6.6668233e+20,61.6,375,307,72,174,2.44,6.57,3.6,154221267125.265,0.282832268780702
733360.653354051,-22.3208,-69.7803,33.6,7.7,0,169,0,-0.10090497988615,33.18,0,733360,-22.25,-69.89,40,7.68,4.334064e+20,122.5,200,358,23,98,2.35,3.87,2.7,99332462724.0499,0.254454707993982
730877.136577083,23.442,70.31,16,7.7,0,107,0,-0.299407906814614,25.58,0,730877,23.42,70.23,16,7.61,3.4296296e+20,48,140,65.59,63.73,59.84,1.8,2.49,7,93756957836.7649,0.256255548839548
730383.741161343,23.85,120.87,13.2,7.7,0,282,0,0.121457423819537,40.87,6.73147373527436e-15,730383,23.834,120.813,10,7.58,3.0437142e+20,50.85,144,3,30,57,1.32,2.92,3.7,63543073059.1697,0.241849633294346
729729.47701169,54.8043,162.0069,25.2,7.7,0,565,0,0.423256763319615,39.1,0,728996,44.62,149.32,24,7.86,8.2000641e+20,216,196,227,12,95,2.44,5.17,1.2,103368800645.002,0.286463062594098
736689.598923958,-43.4053,-73.9403,38,7.6,0,20,0,-0.923726587406824,33.62,0,736689,-43.4167,-73.8972,30,7.61,3.3952873e+20,154,120,356,16,83,2.34,2.58,7.9,131690980118.667,0.276589724810237
735701.843502083,-11.2581,162.1387,15.3,7.6,0,313,0,0.270787754475643,35.19,7.18158584634049e-15,737116,-6.035,142.908,15,7.49,2.2334766e+20,72,210,308,33,110,2.2,3.22,2.3,91023874356.7129,0.259773890237877
735112.533050232,10.8107,126.8262,44.4,7.6,0,512,0,0.484513377905026,38.96,0,735340,27.86,62.15,60,7.73,5.2373565e+20,108.3,144,232,61.7,250,2.07,3.14,6.5,154173823565.258,0.276724403775882
734690.793986921,-29.3073,-176.2572,25.4,7.6,0,347,0,0.315572891720068,31.38,4.05306327737066e-15,734690,-29.312,-176.204,20,7.55,2.7847695e+20,72,216,169.65,52.49,254.86,1.26,2.52,8.2,124574862275.794,0.290286299971267
733851.762277083,-23.1555,-174.5899,30.9,7.6,0,161,0,-0.0179307070389556,31.54,1.13446595275697e-15,733851,-23.043,-174.66,31,7.69,4.4374496e+20,76.57,97.5,204.63,50,97.74,2.05,2.1,18,171551790881.798,0.279570644638117
732787.975728704,61.0398,167.0973,26.6,7.6,0,244,0,0.162633243267924,37.25,1.33726906919807e-15,732787,60.95,167.09,22,7.58,3.1041452e+20,72,174,206.51,40.34,76.49,1.85,2.49,3.9,98973816744.4507,0.263830059114278
732593.160138773,34.5239,73.64,7.9,7.6,0,346,0,0.314319515721972,25.42,0,732593,34.493,73.629,11,7.57,2.954664e+20,34.5,100,320,29,140,2.15,2.13,11,82165263157.8948,0.242105263157895
731797.192603241,-60.5323,-43.4511,10,7.6,0,90,0,-0.27051407363148,26.58,0,731797,-60.53,-43.41,10,7.55,2.793036e+20,15.8,140,105,48,336.62,1.81,3.08,31,152266179273.159,0.280247569011526
731467.780831366,-3.297,142.915,13,7.6,0,116,0,-0.160298593843887,37.62,3.43706344665447e-15,731467,-3.3,142.95,13,7.54,2.6609517e+20,45,161,106.23,34.03,42.72,2,2.04,5.2,74789464312.5388,0.274443250424626
730610.181466667,-1.171,123.54,54,7.6,0,139,0,-0.0817417828167102,32.58,0,734046,-0.8,99.9,78,7.46,2.0585054e+20,69.5485519013604,65,71.34,53.51,137.96,1.89,1.97,30,172821445288.876,0.279487037997594
730349.001141088,40.756,29.955,17,7.6,0,91,0,-0.265715190749712,24.23,0,730349,40.75,29.86,17,7.53,2.5945313e+20,33.6,175,91,87,164,2.15,2.03,6.3,87307526141.3927,0.267612302695552
729186.16916331,51.5487,-177.6073,34.1,7.6,0,225,0,0.127425935040558,34.7,1.6939029182828e-14,729186,51.56,-177.63,28,7.86,8.1305019e+20,183.3,325,265,15,84,1.62,4.76,0.7,79076699280.1595,0.295408168583132
728996.750811921,44.5301,149.3078,46.1,7.6,0,350,0,0.319311461279471,40.7,2.94796882565378e-14,728088,51.22,157.84,46,7.47,2.132081e+20,153,180,211,29,90,2.32,2.65,1,148630640073.666,0.277525625625947
736089.072271065,-5.5168,151.8641,29.6,7.5,0,250,0,0.27721852703025,38.56,1.54822636085232e-14,735708,-6.7203,154.9315,30.8,7.47,2.1205592e+20,102,105,315.14,33.13,90,1.87,3.04,3.7,169620323121.155,0.279883162135427
736052.992025463,-4.7758,152.5778,41.3,7.5,0,131,0,-0.00345018598602298,38.88,8.63493198794732e-15,736089,-5.5034,151.9151,42,7.47,2.0755723e+20,150,150,244,29,75,2.49,2.48,1.4,144665045376.316,0.275128407386977
735708.561119444,-6.708,154.992,39.8,7.5,0,353,0,0.427053223746035,38.42,8.97018468796164e-15,735702,-11.4548,162.0634,35,7.43,1.860952e+20,88.4,143,90,40,75,2.2,2.96,4.9,103878943857.226,0.285929725913492
735239.373833102,55.2347,-134.8008,3.1,7.5,0,21,0,-0.798502186907868,32.55,1.89421844096911e-15,735239,55.2918,-134.7277,12,7.55,2.7712248e+20,24,160,335.78,73.45,184.39,2.05,2.62,16,94009008786.1558,0.26891174272959
734948.751940046,16.4734,-98.3694,19.4,7.5,0,158,0,0.0779356053126352,32.52,8.82938267738055e-15,734948,16.5,-98.22,20,7.42,1.7831935e+20,83.7,85,296,13,95,1.81,2.17,8.5,101489186518.127,0.267954165882121
734301.810301505,7.8506,91.9546,31.4,7.5,0,50,0,-0.421751477305769,29.82,1.06606770479875e-15,734301,7.88,91.94,35,7.45,1.9811867e+20,81.2,108,115.1,66.14,149.13,1.77,2.15,10,172323174946.641,0.279519753124759
733995.830322106,14.0522,92.8685,30.7,7.5,0,64,0,-0.3145415076579,31.01,0,733995,14.1,92.89,24,7.45,1.948191e+20,75.7,210,202.5,35,271,2.06,5.43,1.8,90775147457.1738,0.277795745638386
733063.477603935,1.0816,126.3618,23.5,7.5,0,309,0,0.369236997783047,32.24,1.02247757063789e-14,733063,1.07,126.28,22,7.45,1.9893466e+20,71.68,217.5,26,38,107.94,1.95,2.48,3.4,103553611111.799,0.271186067218148
731777.85267037,-2.6398,68.3563,10,7.5,0,38,0,-0.540937885024977,29.25,0,731777,-2.6,68.38,10,7.53,2.5493191e+20,19.65,280,36,79,158.85,1.94,4.56,6.1,55906416710.5271,0.319865293326076
731603.087916088,18.8965,-104.0815,27.4,7.5,0,29,0,-0.658323483742831,33,5.00922306251483e-15,731603,18.77,-104.1,24,7.46,2.0225539e+20,164.3,105,304,16,110.5,2.05,2.07,4.6,142236116397.781,0.27792859382424
731499.451646181,-1.7511,134.2585,24.8,7.5,0,179,0,0.132131549338106,37.36,3.4137152177481e-15,730610,-1.11,123.57,26,7.51,2.45891e+20,35,217,220,64.02,172.33,1.97,2.54,8.1,120721670310.089,0.274783714540793
731280.886222917,6.032,124.273,33,7.5,0,125,0,-0.0238114686337312,36.43,0,731280,6.03,124.25,31,7.45,1.9504308e+20,133,203,314.09,24.66,69.61,2,2.04,2.9,140855478853.195,0.276811553150952
731143.144953472,-4.089,123.977,33,7.5,0,30,0,-0.643600226922125,34.9,0,730807,-5.5,151.78,33,7.72,5.0791017e+20,116.8,180,240,32,64.1,1.89,4.07,3.4,119889873512.78,0.268105614238669
730450.556434838,-16.324,168.135,35.2,7.5,0,42,0,-0.497472191243887,34.62,6.60699969058954e-15,729501,-12.58,166.68,28,7.69,4.4637667e+20,82,207,178,63,122,2.05,5.3,4.4,171373563846.73,0.279489952450242
729878.979445255,22.3022,125.3178,50.5,7.5,0,26,0,-0.705748133670969,40.44,0,728149,12.994,144.752,59,7.74,5.2796836e+20,159.6,210,312,24,147,1.24,3.51,5.3,172821445288.876,0.279487037997594
729341.708147685,-15.0549,-75.6579,33,7.5,0,83,0,-0.201643389265713,34.9,3.17740829554319e-15,731039,-17.54,-72.08,33,7.59,3.2067802e+20,127.5,210,304,26,51.59,1.83,2.74,3.4,140576718286.652,0.278637537260455
727554.363349884,45.4777,151.0234,24.7,7.5,0,88,0,-0.176238809491619,40.18,3.32898582015946e-14,727554,45.47,151.05,25,7.54,2.6693377e+20,128,230,226,19,99,2.4,2.65,0.8,75131334910.2142,0.30012209831733
736561.314151968,-55.2793,-31.874,10,7.4,0,222,0,0.329666594237869,32.2,0,736561,-55.3394,-31.9394,12,7.38,1.5333185e+20,36,90,133,35,100,2.5,2.17,10,135998033187.456,0.284211749275978
735180.69154294,14.0318,-92.0669,38.7,7.4,0,126,0,0.0836841649047932,32.2,0,735886,12.6127,-88.0734,40.5,7.29,1.1131799e+20,75,70,125.77,21.72,271.8,2,2.31,8.2,172821445288.876,0.279487037997594
734797.748117014,-28.8809,-176.0332,34.8,7.4,0,53,0,-0.292410510611981,31.3,4.99826005062443e-15,734797,-28.99,-176.24,45,7.37,1.5109368e+20,65.8,60,206,40,83,1.69,2.06,7.6,172821445288.876,0.279487037997594
734493.722004167,26.8989,143.7048,13.8,7.4,0,698,0,0.827169042410391,39.14,1.03934647408474e-15,734493,26.8656,143.7392,14,7.37,1.4956213e+20,42,110,116.32,40.35,236.32,1.36,2.01,6.9,163789376427.092,0.279805080480172
729076.53543669,-9.6915,-79.767,10,7.4,0,34,0,-0.485207463170515,35.72,0,729076,-9.738,-79.711,10,7.49,2.2703078e+20,91,190,335,14,88,1.79,3.01,1.2,87089475681.7754,0.266575824949975
728916.58651412,16.8818,-98.5954,44.4,7.4,0,14,0,-0.870558344534532,32.66,1.53081015151827e-14,730393,16.06,-96.93,40,7.38,1.5480472e+20,58.8,85,300,49,282,2.12,2.05,6.4,162590252748.967,0.278960345791543
727910.228776852,-8.475,121.9023,27.7,7.4,0,157,0,0.179213272196464,34.98,0,726941,1.16,122.84,26,7.59,3.210111e+20,100.5,136,112,31,122,2.31,2.31,2.2,127358041140.368,0.275304841272014
726941.568981829,1.2189,122.9156,33.2,7.4,0,96,0,-0.0344151471732013,37.64,0,727369,1.17,122.76,31,7.47,2.0790291e+20,129.6,102,109,10,102,2.49,2.24,2.8,154979583729.667,0.278404182510164
737011.762700116,34.9052,45.9563,19,7.3,0,43,0,-0.279182823204164,25,0,737011,34.8965,45.8045,15,7.33,1.2792129e+20,105,90,354,16,138,2.18,3.06,7.2,86165040349.0426,0.256579742114925
735707.602369097,17.3211,-100.9938,24.4,7.3,0,35,0,-0.368583234433475,34.76,5.38269253593938e-15,735707,17.4,-100.96,24,7.25,9.9761792e+19,75,114,303,18,98,2.24,2.14,4.9,132469039308.854,0.276671434063429
735108.192588542,12.1318,-88.6604,16,7.3,0,74,0,-0.0434195590527748,34.19,9.62130806752081e-16,735108,12.14,-88.59,11.8,7.32,1.2646233e+20,98,152,284,15,77,1.74,4.02,0.5,66495717653.3177,0.279277377587194
734497.553219676,-19.8371,167.9375,15.7,7.3,0,273,0,0.523511368257005,36,1.03882665780235e-15,734497,-19.7,167.94,16,7.29,1.1411524e+20,45.6,115,150,49,242,1.22,2.15,13,135980575337.048,0.286365734633716
