MSt,MSlat,MSlon,MSdepth,MSmag,MSfms,MSprod,FSprod,MSres,SeismoWidth,Background,Time_appended_cat1,Lat_appended_cat1,Lon_appended_cat1,Depth_appended_cat1,Mw_appended_cat1,Mo_appended_cat1,Width_appended_cat1,Length_appended_cat1,Strike_appended_cat1,Dip_appended_cat1,Rake_appended_cat1,RuptureVelocity_appended_cat1,RuptureTime_appended_cat1,StressDrop_appended_cat1,Young_appended_cat1,Poisson_appended_cat1
735555.3784,-60.27,-46.4,10,7.8,1,5,0,-0.49466722126068,23,4.02792868499889e-15,735555,-60.2961,-46.362,12,7.89,8.9435565e+20,50,392,100,50,0,2.25,6.4,7.2,129139221548.996,0.287958962183203
736391.5346,-4.95,94.33,24,7.8,1,4,0,-0.591577234268736,35,0,736391,-4.905,94.236,24,7.77,6.0159401e+20,45,250,274,84,164,1.29,3.83,12,82884630669.5999,0.309975612949579
736436.999,0.35,-79.93,21,7.8,3,18,0,0.0616352795066075,28.91,5.40934213593282e-15,736436,0.3482,-79.972,20,7.82,7.0633008e+20,160,210,29,15,118,2.29,3.04,2.4,115086222619.087,0.273517035673407
728887.4357,-5.81,154.21,16,7.7,3,18,0,0.160861745868819,39,2.77793973016767e-14,730088,-2.07,124.89,16,7.69,4.4547768e+20,45,168,196,65,210,2.2,2.32,5.9,85013607402.9116,0.307070619251123
729341.7081,-14.99,-75.68,33,7.7,3,8,0,-0.191320772242543,34.75,9.40406361254448e-15,731039,-17.54,-72.08,33,7.59,3.2067802e+20,127.5,210,304,26,51.59,1.83,2.74,3.4,140576718286.652,0.278637537260455
729501.5017,-12.58,166.68,33,7.7,3,10,0,-0.0944107592344867,35,3.37729500291903e-14,728887,-5.786,154.181,30,7.7,4.59201e+20,94.4,144,320,39,9,2.19,4.25,4.8,148569376781.646,0.277636374630236
730088.5906,-2.07,124.89,33,7.7,1,10,0,-0.0944107592344867,37.06,5.70945113120736e-15,730807,-5.5,151.78,33,7.72,5.0791017e+20,116.8,180,240,32,64.1,1.89,4.07,3.4,119889873512.78,0.268105614238669
733360.6534,-22.25,-69.89,40,7.7,3,25,0,0.303529249437551,35.24,2.05188724219539e-15,733360,-22.25,-69.89,40,7.68,4.334064e+20,122.5,200,358,23,98,2.35,3.87,2.7,99332462724.0499,0.254454707993982
733776.8221,-0.41,132.88,17,7.7,3,23,0,0.267317076783106,26.1,1.18861626836326e-14,733776,-0.51,132.78,17,7.65,3.8738499e+20,104,152,94,28,48,1.34,1.69,3.6,88698483206.8041,0.258589336162244
726941.569,1.16,122.84,28,7.6,3,11,0,0.0462083922859509,30.1,6.10293165499794e-15,726941,1.16,122.84,26,7.59,3.210111e+20,100.5,136,112,31,122,2.31,2.31,2.2,127358041140.368,0.275304841272014
727310.9145,9.68,-83.08,10,7.6,3,6,0,-0.21703304248863,27.84,5.69933689359467e-15,727310,9.68,-83.08,10,7.57,2.98336e+20,75,222,103,25,58,2.14,2.88,5.2,98373704421.9097,0.260841870520753
727554.3633,45.47,151.05,26,7.6,3,4,0,-0.393124301544312,30.37,3.00370529380653e-14,727554,45.47,151.05,25,7.54,2.6693377e+20,128,230,226,19,99,2.4,2.65,0.8,75131334910.2142,0.30012209831733
727809.0111,11.76,-87.42,10,7.6,3,12,0,0.0839969531753508,38.92,1.04653318435015e-14,727809,11.4582,-87.62,9.5,7.61,3.3846163e+20,89.1,372,303,15,90,1.41,10.46,0.5,26778927435.1317,0.288391478724996
730349.0011,40.75,29.86,17,7.6,1,3,0,-0.518063038152612,27.06,9.2283847119642e-16,730349,40.75,29.86,17,7.53,2.5945313e+20,33.6,175,91,87,164,2.15,2.03,6.3,87307526141.3927,0.267612302695552
730877.1366,23.42,70.23,16,7.6,3,3,0,-0.518063038152612,26.4,0,730877,23.42,70.23,16,7.61,3.4296296e+20,48,140,65.59,63.73,59.84,1.8,2.49,7,93756957836.7649,0.256255548839548
731467.7808,-3.3,142.95,13,7.6,3,9,0,-0.0409417834329492,30.4,1.79708719450093e-14,731467,-3.3,142.95,13,7.54,2.6609517e+20,45,161,106.23,34.03,42.72,2,2.04,5.2,74789464312.5388,0.274443250424626
731797.1926,-60.53,-43.41,10,7.6,2,3,0,-0.518063038152612,28,7.90140084293174e-16,731797,-60.53,-43.41,10,7.55,2.793036e+20,15.8,140,105,48,336.62,1.81,3.08,31,152266179273.159,0.280247569011526
732787.9757,60.95,167.09,22,7.6,3,13,0,0.118759059434563,25.8,2.87748287337323e-15,732787,60.95,167.09,22,7.58,3.1041452e+20,72,174,206.51,40.34,76.49,1.85,2.49,3.9,98973816744.4507,0.263830059114278
733851.7623,-23.05,-174.66,34,7.6,3,8,0,-0.0920943058803305,30,3.93756799681483e-14,733851,-23.043,-174.66,31,7.69,4.4374496e+20,76.57,97.5,204.63,50,97.74,2.05,2.1,18,171551790881.798,0.279570644638117
734053.9189,-13.01,166.51,45,7.6,3,47,0,0.676913565063443,34.31,3.87299929966704e-14,734053,-13.01,166.51,45,7.6,3.2977165e+20,118.08,136,343.58,46,86.84,1.91,4.08,4.8,168201541088.054,0.279828602042596
734690.794,-29.54,-176.34,17,7.6,2,42,0,0.628064997525627,36.7,2.94619684318866e-14,734690,-29.312,-176.204,20,7.55,2.7847695e+20,72,216,169.65,52.49,254.86,1.26,2.52,8.2,124574862275.794,0.290286299971267
735701.8435,-11.27,162.15,22.6,7.6,1,25,0,0.402755715799764,33.63,2.61918536110118e-14,735701,-11.3149,162.2114,29.3,7.71,4.7974282e+20,95.2,200,115.8,69,24.05,1.6,3.02,7.2,117171091166.478,0.284850695457009
727369.2214,1.17,122.76,33,7.5,3,3,0,-0.4188365717904,23.95,2.11516929031222e-14,727369,1.17,122.76,31,7.47,2.0790291e+20,129.6,102,109,10,102,2.49,2.24,2.8,154979583729.667,0.278404182510164
730610.1814,-1.11,123.57,26,7.5,1,7,0,-0.0508597864958055,28.82,5.37425342492e-15,730610,-1.11,123.57,26,7.51,2.45891e+20,35,217,220,64.02,172.33,1.97,2.54,8.1,120721670310.089,0.274783714540793
731280.8862,6.03,124.25,31,7.5,3,6,0,-0.117806576126419,37,1.16596962011479e-14,731280,6.03,124.25,31,7.45,1.9504308e+20,133,203,314.09,24.66,69.61,2,2.04,2.9,140855478853.195,0.276811553150952
731499.4516,-1.76,134.3,10,7.5,1,3,0,-0.4188365717904,25.9,1.62842165211404e-14,731499,-1.76,134.3,10,7.54,2.6633453e+20,19.6,252,59.8,82.59,4.34,2.01,2.76,16,94783829811.9042,0.269145446521822
731603.0879,18.77,-104.1,24,7.5,3,3,0,-0.4188365717904,32.4,8.0566774332339e-15,731603,18.77,-104.1,24,7.46,2.0225539e+20,164.3,105,304,16,110.5,2.05,2.07,4.6,142236116397.781,0.27792859382424
731777.8527,-2.6,68.38,10,7.5,1,3,0,-0.4188365717904,0,9.49992367717792e-15,731777,-2.6,68.38,10,7.53,2.5493191e+20,19.65,280,36,79,158.85,1.94,4.56,6.1,55906416710.5271,0.319865293326076
732262.8935,-8.15,124.87,10,7.5,3,8,0,0.00713216048188126,31.84,9.06262226058981e-15,732262,-8.15,124.87,10.5,7.47,2.1081025e+20,84,98,67.2,22.5,72.27,2.16,2.34,4.1,92433525817.5518,0.268327401536147
733063.4776,1.07,126.28,22,7.5,3,21,0,0.426261468223857,35.05,7.22946821431562e-14,733063,1.07,126.28,22,7.45,1.9893466e+20,71.68,217.5,26,38,107.94,1.95,2.48,3.4,103553611111.799,0.271186067218148
734301.8103,7.88,91.94,35,7.5,1,6,0,-0.117806576126419,31.32,2.53110425105191e-15,734301,7.88,91.94,35,7.45,1.9811867e+20,81.2,108,115.1,66.14,149.13,1.77,2.15,10,172323174946.641,0.279519753124759
734948.7519,16.5,-98.22,20,7.5,3,6,0,-0.117806576126419,38.8,2.52763093556119e-14,734948,16.5,-98.22,20,7.42,1.7831935e+20,83.7,85,296,13,95,1.81,2.17,8.5,101489186518.127,0.267954165882121
735239.3738,55.39,-134.65,10,7.5,1,2,0,-0.594927830846081,7.20000000000002,1.76662255005308e-15,735239,55.2918,-134.7277,12,7.55,2.7712248e+20,24,160,335.78,73.45,184.39,2.05,2.62,16,94009008786.1558,0.26891174272959
735708.5611,-6.76,155.02,43.4,7.5,3,31,0,0.59540386732421,37.9,8.08142696327296e-14,735340,27.86,62.15,60,7.73,5.2373565e+20,108.3,144,232,61.7,250,2.07,3.14,6.5,154173823565.258,0.276724403775882
736052.992,-4.73,152.56,41,7.5,3,14,0,0.250170209168176,39,7.44279920655396e-14,736089,-5.5034,151.9151,42,7.47,2.0755723e+20,150,150,244,29,75,2.49,2.48,1.4,144665045376.316,0.275128407386977
736561.3142,-55.28,-31.88,10,7.5,3,17,0,0.334491094868212,31,5.36401393881407e-16,736561,-55.3394,-31.9394,12,7.38,1.5333185e+20,36,90,133,35,100,2.5,2.17,10,135998033187.456,0.284211749275978
726773.7678,39.8,142.84,38,7.4,3,8,0,0.106358626844094,33.18,2.67996691740745e-14,728088,51.22,157.84,46,7.47,2.132081e+20,153,180,211,29,90,2.32,2.65,1,148630640073.666,0.277525625625947
734493.722,26.9,143.7,14,7.4,2,18,0,0.458541144955456,34.2,2.49305956424171e-15,734493,26.8656,143.7392,14,7.37,1.4956213e+20,42,110,116.32,40.35,236.32,1.36,2.01,6.9,163789376427.092,0.279805080480172
734797.7481,-28.99,-176.24,33,7.4,3,6,0,-0.018580109764206,37,3.53086000931557e-14,734797,-28.99,-176.24,45,7.37,1.5109368e+20,65.8,60,206,40,83,1.69,2.06,7.6,172821445288.876,0.279487037997594
731942.6674,-22.01,169.77,10,7.3,3,22,0,0.644917787036569,32.87,4.98489239164558e-14,730450,-16.288,168.288,14,7.41,1.6854665e+20,62,230,170,40,67,1.67,3.31,3,101029370262.58,0.291675810667024
733728.7101,1.27,122.09,30,7.3,3,0,0,-Inf,22.14,1.6574731997969e-14,733458,2.77,95.96,26,7.39,1.5921202e+20,127.5,120,308,12,80,1.39,2.23,3.1,172821445288.877,0.279487037997594
733921.3505,16.72,-86.23,10,7.3,1,3,0,-0.220383639065975,37.65,7.83019991883855e-15,735108,12.14,-88.59,11.8,7.32,1.2646233e+20,98,152,284,15,77,1.74,4.02,0.5,66495717653.3177,0.279277377587194
734337.566,-5.93,150.59,35,7.3,3,11,0,0.343887791372588,39.56,4.79546368433938e-14,734337,-5.93,150.59,35,7.31,1.2139013e+20,129.15,126,257,24,82,2.32,2.04,3.1,131135739926.376,0.276292464863146
